price,wheelbase,curbweight,enginesize,boreratio,horsepower,carlength,carwidth,gas,turbo,hardtop,hatchback,sedan,wagon,fwd,rwd,dohcv,l,ohc,ohcf,ohcv,rotor,five,four,six,three,twelve,two,Medium,Highend
18344,104.9,2700,134,3.43,72,175.0,66.1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
15580,107.9,3075,120,3.46,95,186.7,68.4,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
6918,95.7,2280,92,3.05,62,169.7,63.6,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7499,94.5,1971,97,3.15,69,165.3,63.8,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
9095,96.5,2289,110,3.15,86,167.5,65.2,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
6229,93.7,1967,90,2.97,68,157.3,63.8,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7053,93.7,2120,108,3.62,73,157.9,63.6,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
16900,107.9,3252,152,3.7,95,186.7,68.4,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
12964,95.9,2811,156,3.6,145,173.2,66.3,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
6295,94.5,1874,90,3.03,70,155.9,63.6,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
16558,102.9,2976,171,3.27,161,183.5,67.7,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
7099,94.5,2017,103,2.99,55,165.3,63.8,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
8948,102.4,2326,122,3.31,92,175.6,66.5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7349,94.5,2024,97,3.15,69,170.2,63.8,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
15250,99.8,2507,136,3.19,110,177.3,66.3,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
8449,98.4,2540,146,3.62,116,176.2,65.6,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
11845,95.3,2380,70,3.33,101,169.0,65.7,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False
37028,89.5,2800,194,3.74,207,168.9,65.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
5389,93.7,1918,92,2.97,68,157.3,64.4,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
9233,97.0,2385,108,3.62,82,172.0,65.4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
17199,91.3,3071,181,3.43,160,170.7,67.9,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
11248,102.4,2458,122,3.31,92,175.6,66.5,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
16503,102.7,2910,140,3.78,175,178.4,68.0,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
10698,102.4,2480,110,3.27,73,175.6,66.5,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
6855,86.6,1819,92,2.91,76,144.6,63.9,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
20970,101.2,2710,164,3.31,121,176.8,64.8,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
7295,96.5,2010,92,2.91,76,163.4,64.0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
22018,94.5,2778,151,3.94,143,168.9,68.3,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
10345,96.5,2293,110,3.15,100,169.1,66.0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
6938,95.7,2081,98,3.19,70,166.3,64.4,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
18150,99.1,2808,121,3.54,160,186.6,66.5,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
7603,93.3,2240,108,3.62,73,157.3,63.8,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
6095,93.1,1900,91,3.03,68,159.1,64.2,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
16695,114.2,3285,120,3.46,95,198.9,68.4,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
9538,94.5,2300,98,3.24,112,168.7,64.0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
12945,96.5,2465,110,3.15,101,175.4,65.2,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
12764,95.9,2818,156,3.59,145,173.2,66.3,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
6669,93.7,2004,92,2.97,68,157.3,64.4,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7957,93.7,2128,98,3.03,102,157.3,63.8,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7609,93.7,1989,90,2.97,68,157.3,63.8,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
18620,99.1,2847,121,3.54,160,186.6,66.5,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
16845,109.1,2952,141,3.78,114,188.8,68.9,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
18150,108.0,3130,134,3.61,142,186.7,68.3,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
16500,94.5,2823,152,2.68,154,171.2,65.5,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
6189,93.7,1944,92,2.97,68,157.3,64.4,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
11048,96.0,2734,119,3.43,90,172.6,65.2,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7609,93.7,2191,98,2.97,68,167.3,63.8,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
34028,89.5,2756,194,3.74,207,168.9,65.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
6989,96.3,2365,122,3.35,88,172.4,65.4,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
5118,93.7,2050,97,3.62,69,156.9,63.4,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
7295,96.5,2024,92,2.92,76,157.1,63.9,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
17075,114.2,3485,152,3.7,95,198.9,68.4,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
10595,98.8,2385,122,3.39,84,177.8,66.5,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
6377,93.7,1876,90,2.97,68,157.3,63.8,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
15510,99.1,2758,121,3.54,110,186.6,66.5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
13845,100.4,2579,97,3.01,68,180.2,66.9,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
6529,93.7,1940,92,2.91,76,150.0,64.0,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
16925,101.2,2395,108,3.5,101,176.8,64.8,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
18950,104.3,3157,130,3.62,162,188.8,67.2,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
8058,94.5,2169,98,3.19,70,168.7,64.0,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
17710,105.8,2844,136,3.19,110,192.7,71.4,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
8558,93.7,2191,98,3.03,102,157.3,63.8,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
32528,89.5,2756,194,3.74,207,168.9,65.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
15985,104.3,2935,141,3.78,114,188.8,67.2,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
7126,97.2,2145,108,3.62,82,172.0,65.4,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
17450,99.4,2824,136,3.19,115,176.6,66.4,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
5399,93.7,1837,79,2.91,60,150.0,64.0,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
12440,114.2,3230,120,3.46,97,198.9,68.4,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
9495,97.3,2319,97,3.01,68,171.7,65.5,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
16630,107.9,3075,120,3.46,97,186.7,68.4,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
8013,96.9,2420,108,3.62,82,173.6,65.4,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
16430,101.2,2395,108,3.5,101,176.8,64.8,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
10245,98.8,2410,122,3.39,84,177.8,66.5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
5572,93.7,1918,90,2.97,68,157.3,63.8,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
5348,95.7,1985,92,3.05,62,158.7,63.6,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
11199,98.4,2679,146,3.62,116,176.2,65.6,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
13495,88.6,2548,130,3.47,111,168.8,64.1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
7995,97.3,2264,97,3.01,52,171.7,65.5,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
7975,97.3,2209,109,3.19,85,171.7,65.5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
31600,115.6,3770,183,3.58,123,202.6,71.7,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
22470,109.1,3217,145,3.01,106,188.8,68.9,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
11245,98.8,2425,122,3.39,84,177.8,66.5,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
8916,94.5,1874,90,3.03,70,155.9,63.6,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
9298,94.5,2265,98,3.24,112,168.7,64.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8921,103.3,2535,122,3.34,88,174.6,64.6,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
10295,96.5,2372,110,3.15,86,175.4,62.5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
13200,107.9,3197,152,3.7,95,186.7,68.4,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
8921,103.3,2535,122,3.35,88,174.6,64.6,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7957,93.7,2128,98,3.03,102,157.3,63.8,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
8778,95.7,3110,92,3.05,62,169.7,63.6,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
11595,94.5,2254,109,3.19,90,159.3,64.2,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
8499,96.3,2328,122,3.35,88,173.0,65.4,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
8845,96.5,2304,110,3.15,86,175.4,65.2,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
17669,98.4,2975,146,3.62,116,176.2,65.6,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
32250,113.0,4066,258,3.63,176,199.6,69.6,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
7299,94.5,1951,97,3.15,69,165.3,63.8,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
7898,95.7,2275,110,3.27,56,166.3,64.4,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
6785,94.3,2337,111,3.31,78,170.7,61.8,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7775,97.2,2190,108,3.62,82,172.0,65.4,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
13950,99.8,2337,109,3.19,102,176.6,66.2,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
19699,91.3,3139,181,3.43,200,170.7,67.9,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
6695,93.1,1945,91,3.03,68,166.8,64.2,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
12170,99.1,2695,121,3.54,110,186.6,66.5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
8195,97.3,2212,109,3.19,85,171.7,65.5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
8358,95.7,2122,98,3.19,70,166.3,64.4,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
9980,94.5,2221,109,3.19,90,165.7,64.0,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
36000,102.0,3950,326,3.54,262,191.7,70.6,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
9959,96.3,2370,110,3.17,116,173.0,65.4,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7129,93.7,1956,92,2.91,76,150.0,64.0,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
18920,105.8,2954,136,3.19,110,192.7,71.4,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
13860,114.2,3430,152,3.7,95,198.9,68.4,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
6649,94.5,1918,97,3.15,69,165.3,63.8,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
14869,95.9,2921,156,3.59,145,173.2,66.3,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
15750,104.5,3151,161,3.27,156,187.8,66.5,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
8495,97.3,2275,109,3.19,85,171.7,65.5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
5499,94.5,1889,97,3.15,69,165.3,63.8,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
23875,105.8,3086,131,3.13,140,192.7,71.4,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
21105,101.2,2765,164,3.31,121,176.8,64.8,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
8845,98.8,2385,122,3.39,84,177.8,66.5,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
10898,102.4,2414,122,3.31,92,175.6,66.5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
9895,96.1,2460,132,3.46,90,176.8,66.6,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
36880,110.0,3505,209,3.62,182,197.0,70.9,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
35056,96.6,3685,234,3.46,155,180.3,70.5,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
15690,104.5,3131,171,3.27,156,187.8,66.5,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
15040,99.1,2707,121,2.54,110,186.6,66.5,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
11549,98.4,2714,146,3.62,116,176.2,65.6,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
18420,104.3,3045,130,3.62,162,188.8,67.2,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
10795,98.8,2443,122,3.39,64,177.8,66.5,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
7395,93.1,1950,91,3.08,68,166.8,64.2,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
11900,107.9,3020,120,3.46,97,186.7,68.4,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
5195,93.1,1890,91,3.03,68,159.1,64.2,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
19045,109.1,3049,141,3.78,160,188.8,68.8,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
9989,98.4,2551,146,3.62,116,176.2,65.6,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
15645,95.3,2500,80,3.33,135,169.0,65.7,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False
35550,113.0,4066,258,3.63,176,199.6,69.6,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
9279,96.3,2403,110,3.17,116,172.4,65.4,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
5572,93.7,1876,90,2.97,68,157.3,63.8,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
13645,95.3,2385,70,3.33,101,169.0,65.7,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False
7738,95.7,2094,98,3.19,70,166.3,64.4,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
16515,104.3,3042,141,3.78,114,188.8,67.2,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
31400,98.4,3366,203,3.94,288,175.7,72.3,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
7895,96.5,2236,110,3.15,86,167.5,65.2,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7198,95.7,2109,98,3.19,70,166.3,64.4,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
12290,100.4,2563,109,3.19,88,183.1,66.9,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
16500,88.6,2548,130,3.47,111,168.8,64.1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
6795,93.1,1905,91,3.03,68,159.1,64.2,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
11694,96.9,2650,108,3.62,111,173.6,65.4,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
9295,96.1,2579,132,3.46,90,181.5,66.5,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
6338,95.7,2040,92,3.05,62,158.7,63.6,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
13499,100.4,3060,181,3.43,152,184.6,66.5,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
8949,97.2,2324,120,3.33,97,173.4,65.2,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
17950,107.9,3252,152,3.7,95,186.7,68.4,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
9279,96.3,2403,110,3.17,116,172.4,65.4,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
45400,112.0,3715,304,3.8,184,199.2,72.0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
6692,93.7,1989,90,2.97,68,167.3,63.8,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
22625,109.1,3062,141,3.78,114,188.8,68.9,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
6575,94.5,1909,90,3.03,70,158.8,63.6,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
9995,97.3,2300,109,3.19,100,171.7,65.5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
34184,115.6,3740,234,3.46,155,202.6,71.7,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
18399,99.2,3139,181,3.43,160,178.5,67.9,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
24565,103.5,3055,164,3.31,121,189.0,66.9,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
6849,94.5,1938,97,3.15,69,165.3,63.8,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
15998,102.9,3016,171,3.27,161,183.5,67.7,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
14399,100.4,3296,181,3.43,152,184.6,66.5,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
